Start Date,Total Duration,Trips,Total Distance,Avg Duration,Avg Distance,events,hum_avg,prec,temp_avg,wind_avg,Daylight,Date,Day,DayOfYear,Week,Month,Year
2017-11-06,91860.76666666695,8349,9395.399179813969,11.002607098654565,1.1253322768971097,None,65,0.0,38,9,609.5333333333333,1509926400000000000,1,310,45,11,2017
2017-11-07,99102.0500000004,8618,9774.68178885956,11.499425620793733,1.1342169632002275,None,66,0.0,39,9,607.1833333333333,1510012800000000000,2,311,45,11,2017
2017-11-08,102941.01666666653,8836,10190.356638948653,11.650182963633604,1.153277120750187,None,64,0.0,38,5,604.8666666666667,1510099200000000000,3,312,45,11,2017
2017-11-09,86930.84999999966,7842,8632.0587424084,11.08529074215757,1.100747097986279,None,56,0.0,34,14,602.5666666666667,1510185600000000000,4,313,45,11,2017
2017-11-10,48303.73333333335,4179,4407.22998699093,11.558682300390847,1.054613540797064,Snow,60,0.01,24,8,600.3166666666667,1510272000000000000,5,314,45,11,2017
2017-11-11,34418.88333333334,2885,3112.428105336918,11.930288850375508,1.0788312323524847,None,58,0.0,32,9,598.0833333333334,1510358400000000000,6,315,45,11,2017
2017-11-12,24400.81666666667,2026,2191.444301961178,12.043838433695296,1.0816605636530987,Rain,78,0.13,38,5,595.8666666666667,1510444800000000000,0,316,45,11,2017
2017-11-13,86883.53333333338,7897,8910.490303413504,11.002093622050575,1.1283386480199449,None,90,0.0,36,6,593.7,1510531200000000000,1,317,46,11,2017
2017-11-14,94843.81666666672,8545,9772.370950850538,11.099334893700027,1.1436361557461132,None,77,0.0,40,11,591.5666666666667,1510617600000000000,2,318,46,11,2017
2017-11-15,66239.66666666664,5694,6239.6905276826365,11.633239667486238,1.095836060358735,Rain,77,0.17,44,16,589.4666666666667,1510704000000000000,3,319,46,11,2017
2017-11-16,78697.43333333345,7447,8290.34210978808,10.567669307551155,1.1132458855630563,None,70,0.0,36,10,587.4,1510790400000000000,4,320,46,11,2017
2017-11-17,58534.566666666746,5558,6031.894887868915,10.53158810123547,1.0852635638483115,"Rain,Thunderstorm",76,0.14,42,14,585.3833333333333,1510876800000000000,5,321,46,11,2017
2017-11-18,17412.299999999985,1539,1601.8150948324253,11.314035087719288,1.040815526206904,"Rain,Snow",79,0.54,42,15,583.4,1510963200000000000,6,322,46,11,2017
2017-11-19,47182.333333333445,3220,3587.698404997495,14.652898550724672,1.114192051241458,None,57,0.0,34,13,581.45,1511049600000000000,0,323,46,11,2017
