Start Hub,Start Latitude,Start Longitude,Start Date,Start Time,End Hub,End Latitude,End Longitude,End Date,End Time,Bike Name,Distance [Miles],Duration
NONE,33.7817866666667,-84.37924833333331,2018-04-01 00:00:00,2018-04-01 14:30:00,NONE,33.7835666666667,-84.37945500000001,2018-04-02 00:00:00,2018-04-02 19:44:00,1009,2.16,1 days 05:14:13.000000000
PIEDMONT PARK & EASTSIDE BELTLINE,33.781891666666695,-84.37916,2018-04-28 00:00:00,2018-04-28 16:17:00,OUTWRIGHT STATION,33.781891666666695,-84.37916,2018-04-30 00:00:00,2018-04-30 16:57:00,2656,1.49,2 days 00:40:13.000000000
HOME PARK,33.782005,-84.4044416666667,2018-04-03 00:00:00,2018-04-03 21:48:00,NONE,33.764245,-84.38908,2018-04-05 00:00:00,2018-04-05 11:33:00,2943,2.14,1 days 13:45:20.000000000
NONE,33.7820483333333,-84.37926999999999,2018-04-17 00:00:00,2018-04-17 22:00:00,OUTWRIGHT STATION,33.7818633333333,-84.3792983333333,2018-04-19 00:00:00,2018-04-19 06:49:00,2940,1.09,1 days 08:49:06.000000000
PIEDMONT PARK & EASTSIDE BELTLINE,33.7822783333333,-84.369885,2018-04-20 00:00:00,2018-04-20 17:35:00,PIEDMONT PARK & EASTSIDE BELTLINE,33.7823133333333,-84.3698683333333,2018-04-21 00:00:00,2018-04-21 18:42:00,2973*,4.46,1 days 01:06:57.000000000
PIEDMONT PARK & EASTSIDE BELTLINE,33.782325,-84.36988000000001,2018-04-08 00:00:00,2018-04-08 15:38:00,NONE,33.7820933333333,-84.3543116666667,2018-04-09 00:00:00,2018-04-09 20:16:00,2832,3.27,1 days 04:37:59.000000000
NONE,33.7844166666667,-84.3960316666667,2018-04-17 00:00:00,2018-04-17 13:17:00,NONE,33.7803566666667,-84.3944783333333,2018-04-23 00:00:00,2018-04-23 13:35:00,2981,1.04,6 days 00:17:55.000000000
PIEDMONT PARK EAST,33.78629,-84.3714116666667,2018-04-01 00:00:00,2018-04-01 10:31:00,NONE,33.772646666666695,-84.3648383333333,2018-04-02 00:00:00,2018-04-02 15:44:00,2656,7.34,1 days 05:13:00.000000000
PIEDMONT PARK WEST,33.7863983333333,-84.3780716666667,2018-04-14 00:00:00,2018-04-14 18:13:00,NONE,33.7842,-84.37901,2018-04-16 00:00:00,2018-04-16 11:09:00,2622,0.19,1 days 16:56:14.000000000
NONE,33.7866116666667,-84.3818283333333,2018-04-14 00:00:00,2018-04-14 15:20:00,JUNIPER & 14TH ST,33.7866116666667,-84.3818283333333,2018-04-17 00:00:00,2018-04-17 14:32:00,2586,3.28,2 days 23:12:23.000000000
ATLANTIC STATION,33.7917133333333,-84.39627166666669,2018-04-29 00:00:00,2018-04-29 12:53:00,ATLANTIC STATION,33.7915066666667,-84.3963266666667,2018-04-30 00:00:00,2018-04-30 16:09:00,2607,8.84,1 days 03:15:56.000000000
NONE,33.7922016666667,-84.3866083333333,2018-04-25 00:00:00,2018-04-25 17:55:00,NONE,33.7611516666667,-84.362045,2018-04-28 00:00:00,2018-04-28 13:43:00,2723,3.36,2 days 19:48:35.000000000
CHEROKEE & WOODWARD,33.745540000000005,-84.37355500000001,2018-05-22 00:00:00,2018-05-22 05:34:00,NONE,33.763581666666695,-84.4170383333333,2018-05-27 00:00:00,2018-05-27 05:46:00,2910,5.34,5 days 00:11:47.000000000
NONE,33.7464416666667,-84.36470833333341,2018-05-02 00:00:00,2018-05-02 15:22:00,NONE,33.7571016666667,-84.3643416666667,2018-05-04 00:00:00,2018-05-04 13:39:00,2760,0.8,1 days 22:17:34.000000000
NONE,33.7480433333333,-84.42331999999999,2018-05-01 00:00:00,2018-05-01 14:57:00,HISTORIC WESTSIDE VILLAGE,33.7547916666667,-84.4142116666667,2018-05-02 00:00:00,2018-05-02 21:43:00,2698,13.42,1 days 06:46:03.000000000
NONE,33.75212,-84.3580266666667,2018-05-31 00:00:00,2018-05-31 03:10:00,NONE,33.730483333333304,-84.3281683333333,2018-06-12 00:00:00,2018-06-12 13:11:00,2959*,2.77,12 days 10:01:14.000000000
SWEET AUBURN MARKET,33.75385,-84.38079499999999,2018-05-12 00:00:00,2018-05-12 13:19:00,SWEET AUBURN MARKET,33.7537816666667,-84.3808216666667,2018-05-14 00:00:00,2018-05-14 04:09:00,2883,1.98,1 days 14:49:20.000000000
GSU ARTS & HUMANITIES BLDG,33.7541733333333,-84.38628666666669,2018-05-12 00:00:00,2018-05-12 13:41:00,NONE,33.7493966666667,-84.3765866666667,2018-05-14 00:00:00,2018-05-14 07:43:00,2750,1.44,1 days 18:01:46.000000000
RANDOLPH & EDGEWOOD,33.7543533333333,-84.3681266666667,2018-05-11 00:00:00,2018-05-11 22:46:00,RANDOLPH & EDGEWOOD,33.7543716666667,-84.36838,2018-05-14 00:00:00,2018-05-14 10:07:00,2823,0.15,2 days 11:20:43.000000000
STUDIOPLEX,33.756745,-84.366495,2018-05-25 00:00:00,2018-05-25 10:59:00,NONE,33.756821666666696,-84.36659499999999,2018-05-27 00:00:00,2018-05-27 16:07:00,2792,0.06,2 days 05:07:44.000000000
NONE,33.7568,-84.3665733333333,2018-05-20 00:00:00,2018-05-20 03:47:00,IRWIN & EASTSIDE BELTLINE ,33.7575966666667,-84.3647216666667,2018-06-25 00:00:00,2018-06-25 14:06:00,2737,5.0,36 days 10:18:53.000000000
MARTA - INMAN PARK ,33.757395,-84.3539516666667,2018-05-05 00:00:00,2018-05-05 12:06:00,NONE,33.7642933333333,-84.3571716666667,2018-05-06 00:00:00,2018-05-06 14:18:00,2615,1.11,1 days 02:11:58.000000000
IRWIN & EASTSIDE BELTLINE ,33.757458333333304,-84.36474,2018-05-27 00:00:00,2018-05-27 18:21:00,NONE,33.7715783333333,-84.3665183333333,2018-05-29 00:00:00,2018-05-29 08:37:00,2775,1.84,1 days 14:16:06.000000000
IRWIN & EASTSIDE BELTLINE ,33.7574666666667,-84.36452,2018-05-08 00:00:00,2018-05-08 12:36:00,NONE,33.764153333333304,-84.3595816666667,2018-05-09 00:00:00,2018-05-09 20:25:00,2736,0.58,1 days 07:48:48.000000000
IRWIN & EASTSIDE BELTLINE ,33.7575,-84.3648766666667,2018-05-01 00:00:00,2018-05-01 18:35:00,NONE,33.7708166666667,-84.365545,2018-05-04 00:00:00,2018-05-04 20:03:00,2710,1.07,3 days 01:27:44.000000000
NONE,33.75761,-84.364765,2018-05-12 00:00:00,2018-05-12 21:22:00,HISTORIC FOURTH WARD PARK,33.7708066666667,-84.3654883333333,2018-05-15 00:00:00,2018-05-15 10:40:00,2715,0.93,2 days 13:18:49.000000000
IRWIN & EASTSIDE BELTLINE ,33.75762,-84.3646933333333,2018-05-09 00:00:00,2018-05-09 18:18:00,IRWIN & EASTSIDE BELTLINE ,33.75743,-84.36466,2018-05-11 00:00:00,2018-05-11 15:53:00,2847,5.69,1 days 21:34:31.000000000
IRWIN & EASTSIDE BELTLINE ,33.75764,-84.3646133333333,2018-05-02 00:00:00,2018-05-02 14:52:00,NONE,33.758534999999995,-84.3645783333333,2018-05-04 00:00:00,2018-05-04 09:28:00,2677,0.1,1 days 18:36:22.000000000
5TH & ARGONNE,33.7576483333333,-84.3646266666667,2018-05-08 00:00:00,2018-05-08 18:14:00,NONE,33.757618333333305,-84.364625,2018-05-14 00:00:00,2018-05-14 09:22:00,2930,4.21,5 days 15:08:01.000000000
INMAN PARK VILLAGE,33.7617483333333,-84.3603383333333,2018-05-09 00:00:00,2018-05-09 19:10:00,NONE,33.7621016666667,-84.3603966666667,2018-05-10 00:00:00,2018-05-10 21:19:00,2783,0.07,1 days 02:09:00.000000000
HARDY IVY PARK,33.7626116666667,-84.3875133333333,2018-05-04 00:00:00,2018-05-04 14:11:00,NONE,33.764855,-84.39739166666669,2018-05-06 00:00:00,2018-05-06 14:59:00,2583,1.51,2 days 00:48:16.000000000
HARDY IVY PARK,33.762865000000005,-84.3878066666667,2018-05-02 00:00:00,2018-05-02 17:30:00,NONE,33.7540166666667,-84.38599,2018-05-05 00:00:00,2018-05-05 14:15:00,2891,4.81,2 days 20:44:48.000000000
NONE,33.763638333333304,-84.3590033333333,2018-05-01 00:00:00,2018-05-01 18:52:00,KING OF POPS,33.7634216666667,-84.35902,2018-05-02 00:00:00,2018-05-02 20:53:00,2798,0.03,1 days 02:00:57.000000000
KING OF POPS,33.763655,-84.3592183333333,2018-05-01 00:00:00,2018-05-01 18:59:00,KING OF POPS,33.763748333333304,-84.3589966666667,2018-05-02 00:00:00,2018-05-02 20:47:00,2604,3.97,1 days 01:47:33.000000000
THE COCA-COLA COMPANY,33.769568333333304,-84.3962633333333,2018-05-27 00:00:00,2018-05-27 18:34:00,NONE,33.7696533333333,-84.3962233333333,2018-05-29 00:00:00,2018-05-29 10:46:00,1002,2.8,1 days 16:12:17.000000000
HISTORIC FOURTH WARD PARK,33.770758333333305,-84.3655916666667,2018-05-11 00:00:00,2018-05-11 19:17:00,NONE,33.7690433333333,-84.36293,2018-05-14 00:00:00,2018-05-14 20:45:00,2579,5.21,3 days 01:27:37.000000000
HISTORIC FOURTH WARD PARK,33.7708083333333,-84.3655466666667,2018-05-08 00:00:00,2018-05-08 13:35:00,HISTORIC FOURTH WARD PARK,33.7708416666667,-84.3653433333333,2018-05-09 00:00:00,2018-05-09 14:00:00,2657,0.45,1 days 00:25:00.000000000
NONE,33.7719,-84.36586333333331,2018-05-02 00:00:00,2018-05-02 17:34:00,MARTA - MIDTOWN  (NORTH),33.78151,-84.3861316666667,2018-05-03 00:00:00,2018-05-03 19:20:00,2573,4.85,1 days 01:46:26.000000000
VIRTUAL HUB - PONCE CITY MARKET SURFACE PARKING LOT,33.7720016666667,-84.3661233333333,2018-05-09 00:00:00,2018-05-09 13:13:00,NONE,33.782379999999996,-84.3698466666667,2018-05-16 00:00:00,2018-05-16 12:19:00,2695,3.06,6 days 23:05:31.000000000
NONE,33.772658333333304,-84.3647483333333,2018-05-06 00:00:00,2018-05-06 13:27:00,5TH & ARGONNE,33.7755866666667,-84.3777266666667,2018-05-07 00:00:00,2018-05-07 17:58:00,2860,1.72,1 days 04:31:26.000000000
IRWIN & EASTSIDE BELTLINE ,33.7727133333333,-84.3647983333333,2018-05-12 00:00:00,2018-05-12 15:26:00,NONE,33.7601466666667,-84.3632783333333,2018-05-13 00:00:00,2018-05-13 16:30:00,2710,1.28,1 days 01:04:44.000000000
5TH & ARGONNE,33.775548333333305,-84.3777716666667,2018-05-08 00:00:00,2018-05-08 18:15:00,NONE,33.761733333333304,-84.3610116666667,2018-05-12 00:00:00,2018-05-12 19:27:00,2843,2.18,4 days 01:11:57.000000000
5TH & ARGONNE,33.7755783333333,-84.3777516666667,2018-05-08 00:00:00,2018-05-08 18:14:00,IRWIN & EASTSIDE BELTLINE ,33.757554999999996,-84.3646766666667,2018-05-09 00:00:00,2018-05-09 18:46:00,2999,2.6,1 days 00:31:52.000000000
GREENWOOD AVE BELTLINE,33.7766633333333,-84.36518833333331,2018-05-12 00:00:00,2018-05-12 17:25:00,GREENWOOD AVE BELTLINE,33.7767416666667,-84.3652316666667,2018-05-14 00:00:00,2018-05-14 04:09:00,2927,3.35,1 days 10:43:54.000000000
GREENWOOD AVE BELTLINE,33.7767183333333,-84.3652633333333,2018-05-26 00:00:00,2018-05-26 14:59:00,NONE,33.776965000000004,-84.3654366666667,2018-05-29 00:00:00,2018-05-29 11:47:00,2809,1.29,2 days 20:47:41.000000000
PIEDMONT PARK & EASTSIDE BELTLINE,33.782295,-84.3698466666667,2018-05-03 00:00:00,2018-05-03 19:37:00,NONE,33.76279,-84.3582516666667,2018-05-05 00:00:00,2018-05-05 10:46:00,2718,2.64,1 days 15:09:11.000000000
PIEDMONT PARK & EASTSIDE BELTLINE,33.7823133333333,-84.3698266666667,2018-05-02 00:00:00,2018-05-02 11:55:00,NONE,33.78734,-84.37485,2018-05-03 00:00:00,2018-05-03 12:47:00,2818,2.38,1 days 00:52:30.000000000
PIEDMONT PARK & EASTSIDE BELTLINE,33.782328333333304,-84.3698933333333,2018-05-05 00:00:00,2018-05-05 12:59:00,NONE,33.7903533333333,-84.38688499999999,2018-05-06 00:00:00,2018-05-06 14:35:00,2598,6.69,1 days 01:35:55.000000000
NONE,33.73744,-84.4090583333333,2018-06-22 00:00:00,2018-06-22 13:57:00,MARTA - WEST END ,33.7369566666667,-84.4137716666667,2018-06-24 00:00:00,2018-06-24 12:17:00,1042,1.53,1 days 22:19:40.000000000
WOODRUFF PARK,33.755965,-84.3884566666667,2018-06-19 00:00:00,2018-06-19 09:42:00,NONE,33.7599066666667,-84.3877416666667,2018-06-28 00:00:00,2018-06-28 14:17:00,2792,6.4,9 days 04:35:01.000000000
NONE,33.7566383333333,-84.3743066666667,2018-06-09 00:00:00,2018-06-09 14:21:00,NONE,33.7822466666667,-84.35924,2018-06-11 00:00:00,2018-06-11 16:51:00,2845,2.57,2 days 02:29:24.000000000
MARTA - INMAN PARK ,33.7574883333333,-84.3539133333333,2018-06-11 00:00:00,2018-06-11 14:09:00,MARTA - INMAN PARK ,33.757438333333305,-84.35401999999999,2018-06-13 00:00:00,2018-06-13 15:56:00,2752,1.59,2 days 01:47:01.000000000
IRWIN & EASTSIDE BELTLINE ,33.75763,-84.3647533333333,2018-06-15 00:00:00,2018-06-15 13:37:00,NONE,33.759479999999996,-84.36415,2018-06-17 00:00:00,2018-06-17 09:45:00,2763,5.58,1 days 20:08:40.000000000
